
Country,League,Club,Player_Names,Matches_Played,Substitution,Mins,Goals,xG,xG_Per_Avg_Match,Shots,OnTarget,Shots_Per_Avg_Match,On_Target_Per_Avg_Match,Year
Spain,La Liga,(BET),Juanmi Callejon,19,16,1849,11,6.6200000000000001,0.34000000000000002,48,20,2.4700000000000002,1.03,2016
Spain,La Liga,(BAR),Antoine Griezmann,36,0,3129,16,11.859999999999999,0.35999999999999999,88,41,2.6699999999999999,1.24,2016
Spain,La Liga,(ATL),Luis Suarez,34,1,2940,28,23.210000000000001,0.75,120,57,3.8799999999999999,1.84,2016
Spain,La Liga,(CAR),Ruben Castro,32,3,2842,13,14.06,0.46999999999999997,117,42,3.9100000000000001,1.4,2016
Spain,La Liga,(VAL),Kevin Gameiro,21,10,1745,13,10.65,0.57999999999999996,50,23,2.7200000000000002,1.25,2016
Spain,La Liga,(RMA),Cristiano Ronaldo,29,0,2634,25,24.68,0.89000000000000001,162,60,5.8399999999999999,2.16,2016
Spain,La Liga,(RMA),Karim Benzema,23,6,1967,11,13.25,0.64000000000000001,69,34,3.3300000000000001,1.64,2016
Spain,La Liga,(BAR),Neymar,30,0,2694,13,13.33,0.46999999999999997,105,42,3.7000000000000002,1.48,2016
Spain,La Liga,(CEL),Iago Aspas,25,7,2354,19,13.880000000000001,0.56000000000000005,78,37,3.1499999999999999,1.49,2016
Spain,La Liga,(EIB),Sergi Enrich,31,7,2904,11,8.25,0.27000000000000002,64,26,2.0899999999999999,0.85,2016
Spain,La Liga,(ATB),Aduriz,27,5,2480,16,15.92,0.60999999999999999,85,45,3.2599999999999998,1.72,2016
Spain,La Liga,(HUE),Sandro Ramlrez,28,2,2340,14,7.1399999999999997,0.28999999999999998,93,38,3.7799999999999998,1.54,2016
Spain,La Liga,(BAR),Lionel Messi,32,2,2910,37,26.649999999999999,0.87,179,76,5.8399999999999999,2.48,2016
Spain,La Liga,(VIL),Gerard Moreno,37,0,3361,13,8.4900000000000002,0.23999999999999999,82,32,2.3199999999999998,0.9,2016
Spain,La Liga,(RMA),Morata,14,12,1392,15,9.6699999999999999,0.66000000000000003,55,30,3.75,2.05,2016
Spain,La Liga,(SEV),Wissam Ben Yedder,20,11,1735,11,7.8499999999999996,0.42999999999999999,44,23,2.4100000000000001,1.26,2016
Spain,La Liga,(SOC),Willian Jose,27,1,2102,12,8.4100000000000001,0.38,69,29,3.1200000000000001,1.31,2016
Spain,La Liga,(CRD),Andone,32,5,2984,12,11.619999999999999,0.37,99,42,3.1499999999999999,1.34,2016
Spain,La Liga,(SOC),Cedric Bakambu,17,9,1633,10,8.0800000000000001,0.46999999999999997,50,26,2.9100000000000001,1.51,2016
Spain,La Liga,(RMA),Isco,18,12,1690,10,3.9100000000000001,0.22,32,15,1.8,0.84,2016
Italy,Serie A,(ROM),Mohamed Salah,29,2,2567,15,11.619999999999999,0.42999999999999999,80,50,2.96,1.85,2016
Italy,Serie A,(SAS),Gregoire Defrel,23,6,2054,12,8,0.37,43,28,1.99,1.3,2016
Italy,Serie A,(LAZ),Ciro Immobile,35,1,3294,22,19.760000000000002,0.56999999999999995,136,98,3.9199999999999999,2.83,2016
Italy,Serie A,(VER),Nikola Kalinic,26,6,2648,15,15.050000000000001,0.54000000000000004,90,61,3.23,2.19,2016
Italy,Serie A,(NAP),Dries Mertens,28,7,2671,28,21.649999999999999,0.77000000000000002,148,102,5.2599999999999998,3.63,2016
Italy,Serie A,(ATA),Alejandro Gomez,37,0,3247,16,11.619999999999999,0.34000000000000002,117,75,3.4199999999999999,2.19,2016
Italy,Serie A,(FIO),Jose CallejOn,37,0,3276,14,11.380000000000001,0.33000000000000002,86,57,2.4900000000000002,1.65,2016
Italy,Serie A,(BEN),Iago Falque,31,4,2633,12,8.0399999999999991,0.28999999999999998,65,42,2.3500000000000001,1.52,2016
Italy,Serie A,(CAG),Giovanni Simeone,29,6,2764,12,12.220000000000001,0.41999999999999998,76,35,2.6099999999999999,1.2,2016
Italy,Serie A,(PSG),Mauro Icardi,34,0,3188,24,19.129999999999999,0.56999999999999995,109,52,3.25,1.55,2016
Italy,Serie A,(CRZ),Diego Falcinelli,35,1,3308,13,11.49,0.33000000000000002,99,65,2.8399999999999999,1.87,2016
Italy,Serie A,(UDI),Cyril Thereau,31,2,2585,12,9.25,0.34000000000000002,70,48,2.5699999999999998,1.76,2016
Italy,Serie A,(ROM),Edin Dzeko,33,4,3194,29,30.600000000000001,0.91000000000000003,178,99,5.29,2.94,2016
Italy,Serie A,(NAP),Lorenzo Insigne,35,2,3031,18,13.08,0.40999999999999998,147,81,4.6100000000000003,2.54,2016
Italy,Serie A,(SAM),Fabio Quagliarella,35,2,3030,12,13.710000000000001,0.42999999999999999,112,70,3.5099999999999998,2.19,2016
Italy,Serie A,(CAG),Borriello,30,6,2737,16,7.7800000000000002,0.27000000000000002,81,51,2.8100000000000001,1.77,2016
Italy,Serie A,(VIL),Carlos Bacca,26,6,2228,13,14.07,0.59999999999999998,56,39,2.3900000000000001,1.66,2016
Italy,Serie A,(IMI),Gonzalo Higuain,32,6,3138,24,17.84,0.54000000000000004,134,91,4.0599999999999996,2.75,2016
Italy,Serie A,(SAM),Keita Balde,21,10,2033,16,7.7000000000000002,0.35999999999999999,70,48,3.27,2.24,2016
Italy,Serie A,(TOR),Andrea Belotti,34,1,3241,26,19.449999999999999,0.56999999999999995,130,78,3.8100000000000001,2.29,2016
Germany,Bundesliga,(HKI),Fin Bartels,23,8,2315,8,6.3399999999999999,0.26000000000000001,42,29,1.72,1.19,2016
Germany,Bundesliga,(BMG),Lars Stindl,29,1,2673,11,8.4399999999999995,0.29999999999999999,68,50,2.4199999999999999,1.78,2016
Germany,Bundesliga,(BAY),Serge Gnabry,23,4,2028,11,5.7599999999999998,0.27000000000000002,62,33,2.8999999999999999,1.55,2016
Germany,Bundesliga,(HOF),Sandro Wagner,30,1,2695,11,12.199999999999999,0.42999999999999999,65,35,2.29,1.23,2016
Germany,Bundesliga,(HOF),Andrej Kramaric,28,6,2449,15,13.41,0.52000000000000002,99,60,3.8399999999999999,2.33,2016
Germany,Bundesliga,(FCA),Florian Niederlechner,29,5,2477,11,10.69,0.40999999999999998,79,56,3.0299999999999998,2.15,2016
Germany,Bundesliga,(BAY),Robert Lewandowski,31,2,2871,30,30.52,1.01,143,86,4.7300000000000004,2.85,2016
Germany,Bundesliga,(RBL),Emil Forsberg,27,3,2420,8,5.8600000000000003,0.23000000000000001,49,32,1.9199999999999999,1.26,2016
Germany,Bundesliga,(RBL),Timo Werner,28,3,2496,21,12.609999999999999,0.47999999999999998,74,50,2.8199999999999998,1.9,2016
Germany,Bundesliga,(SCF),Nils Petersen,7,26,1351,10,9.2400000000000002,0.65000000000000002,52,33,3.6600000000000001,2.32,2016
Germany,Bundesliga,(SCH),Vedad Ibisevic,32,0,2772,12,12.84,0.44,72,46,2.4700000000000002,1.58,2016
Germany,Bundesliga,(WOB),Mario Gomez,32,1,2950,16,18.32,0.58999999999999997,84,45,2.71,1.45,2016
Germany,Bundesliga,(WOB),Maximilian Philipp,23,2,2000,9,6.1100000000000003,0.28999999999999998,53,34,2.52,1.62,2016
